title,price,mrp,code,ASIN,url,,
Men's Leather Belt,899,2999,B07L3DPXLC,B07QLXSYCV,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BFR35R24I-01C_Black/dp/B07L3DPXLC/ref=sr_1_22?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-22,,
Men's Printed Regular fit T-Shirt,503,1199,B07LFSBM8R,B07QJFNKV9,https://www.amazon.in/United-Colors-Benetton-19P3096E0009I_13C_XL_Navy-Blue_X-Large/dp/B07LFSBM8R/ref=sr_1_23?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-23,,
Men's Flip-Flops,393,499,B07L63L99T,B07QKYCY7F,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-8-19P8CFFPM201I/dp/B07L63L99T/ref=sr_1_24?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-24,,
Men's Baseball Cap,319,1599,B07L4NQV8B,B07QKHNLHL,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE032I-07T-ST_Grey_One/dp/B07L4NQV8B/ref=sr_1_29?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-29,,
Men's Baseball Cap,319,1599,B07L518TJ6,B07QG5CZWW,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE086I-07T-ST_Grey_One/dp/B07L518TJ6/ref=sr_1_30?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-30,,
Men's Plain Regular fit Polo,645,1399,B07LCPFVJT,B07QLXJ4KK,https://www.amazon.in/United-Colors-Benetton-Regular-19P3089E0036I_AD3_Red_Small/dp/B07LCPFVJT/ref=sr_1_31?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-31,,
Men's Printed Regular fit T-Shirt,503,1199,B07LFJRVKK,B07QKHN8J2,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0013I_101_L_White_Large/dp/B07LFJRVKK/ref=sr_1_32?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-32,,
Women's 19a8cffpl402i Flip-Flops,499,same as sellprice,B07W65LK1K,B07QLXJ539,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-5-19A8CFFPL402I/dp/B07W65LK1K/ref=sr_1_33?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-33,,
Men's Leather Belt,899,2999,B07L3DRM7G,B07QLVVSJ2,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BFR35S10I-01B_Black/dp/B07L3DRM7G/ref=sr_1_34?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-34,,
30 Ltrs Blue Casual Backpack (0IP6ECOBPBB3I),499,1499,B07CQS59TD,B07QLWFP9X,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6ECOBPBB3I/dp/B07CQS59TD/ref=sr_1_35?keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-35,,
Men's Baseball Cap,319,1599,B07L4YGD95,B07QLXMG3N,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE071I-44D-ST_Blue_One/dp/B07L4YGD95/ref=sr_1_36?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-36,,
Men's Sweater,961,2599,B07DLS432R,B07QKHJQLC,https://www.amazon.in/United-Colors-Benetton-Sweater-18A10VRU1G41G_902_M_Navy/dp/B07DLS432R/ref=sr_1_37?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-37,,
Men's Relaxed Fit Casual Trousers,1349,2999,B07GT34FDM,B07QKHJRGW,https://www.amazon.in/United-Colors-Benetton-Trousers-18A3CTWB6032I_Black_32/dp/B07GT34FDM/ref=sr_1_38?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-38,,
Girls' Regular Fit Starred T-Shirt,309,799,B07FBYYHP7,B07QKHNDFB,https://www.amazon.in/United-Colors-Benetton-Regular-18A3067CS100I_Chili/dp/B07FBYYHP7/ref=sr_1_39?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-39,,
